idx,valid,smiles,qed,logP,mol_weight,num_atoms,num_bonds,num_rings,hbd,hba
0,True,Cc1ccc(C(=O)NCCC2N=c3ccc(F)cc3=C3N(CCc4ccc(Cl)cc4)N=NN32)cc1,0.5476225214827667,3.775120000000003,490.97000000000025,35,39,5,1,6
1,True,O=C(Cc1ccc2ccccc2n1)OCC(=O)N1CCCc2ccccc21,0.6700283772711291,3.299900000000002,360.4130000000002,27,30,4,0,4
2,True,O=C(COC(=O)CC1=c2ccccc2=NC1)NCc1ccco1,0.7786918086280454,0.3132,312.32500000000005,23,25,3,1,5
3,True,CC(=O)c1ccc(NC(=O)CSc2nc3cc(C)ccc3[nH]2)cc1,0.5474746313938224,3.8047200000000014,339.42,24,26,3,2,4
4,True,CCn1c(SCC(=O)NCc2ccccc2F)nc2ccc(C)cc21,0.6805145385909226,3.9122200000000023,357.4540000000001,25,27,3,1,4
5,True,CCC(=O)Oc1ccc(-c2nnnn2-c2ccc(C(=O)O)cc2)cc1,0.561740972220255,2.3429,338.32300000000004,25,27,3,1,7
6,True,Cc1cccc(OC2=NC(=NC(=O)c3cccs3)C=CC2)c1,0.8404947162870198,4.032620000000003,310.37800000000004,22,24,3,0,3
7,True,Cc1cccc2c(=O)c3ccccc3[nH]c12,0.5670999369364401,2.989720000000001,209.24800000000002,16,18,3,1,1
8,True,O=C(COC(=O)CCN1C(=O)c2ccccc2C1=O)Nc1ccccc1Cl,0.6078907927341066,2.508,386.79100000000005,27,29,3,1,5
9,True,Cc1ccc(C(=O)Nc2cc(C)nc3ccc(N4CCOCC4)cc23)cc1,0.767667392925199,3.940540000000003,361.44500000000016,27,30,4,1,4
10,False,,,,,,,,,
11,True,Cc1cnc(NC(=O)c2cccc(NC(=O)c3ccco3)c2)s1,0.7672916447295262,3.549120000000001,327.36500000000007,23,25,3,2,5
12,True,COc1ccc(CNC(=O)CCCNC(=O)N2CCc3ccccc3C2=O)cc1,0.7053987648817132,2.4997,395.4590000000001,29,31,3,2,4
13,True,Cc1cccc(NC(=O)CC2SC3=NC=c4ccccc4=NC32)c1,0.9354821293335732,2.27752,335.4320000000001,24,27,4,1,4
14,True,CCOc1ccc(C(=O)NCCc2ccccc2)cc1,0.8749459964252976,3.057800000000001,269.344,20,21,2,1,2
15,True,Cc1cccc(NC(=O)Cn2c(C)nc3ccccc32)n1,0.8020930560325849,2.686840000000001,280.331,21,23,3,1,4
16,True,CCc1ccc(C(=O)NCC(=O)N2CCCn3c2nc2ccccc23)cc1,0.7759964714903392,2.7654000000000014,362.433,27,30,4,1,4
17,True,COc1ccccc1NC(=O)C1=CC=CC2C=CC=CC2=N1,0.9292139311175973,3.2706000000000017,292.338,22,24,3,1,3
