index,valid,smiles,qed,logP,num_atoms,num_heavy_atoms
0,True,CCc1ccc(CCNC(=O)[C@H]2CCCS(=O)(=O)C2)cc1,0.9007869798925611,1.7324999999999997,21,21
1,True,COc1cccc(C(=O)CSC2=NC(C(F)(F)F)=NC3C(=N2)Oc2ccccc23)c1,0.6671331579808679,4.473700000000003,30,30
2,True,CSc1nnc(-c2cccc(C(F)(F)F)c2)c(OC(F)F)n1,0.6258457885363499,3.880700000000002,22,22
3,True,CCC1=NN(CC(=O)NCc2ccccc2)C(=O)C2=C(C)C(C)OC2=N1,0.8777689193476279,2.0021999999999998,26,26
4,True,CCN1C(=O)c2ccccc2C(=O)C1=CCCC(=O)Nc1ccc2ccccc2c1,0.6279175017203222,4.801000000000004,30,30
5,True,COc1cccc(NC(=O)CCC(=O)NN2C(=O)c3c(ncc4ccccc34)C2C)c1,0.640248391896632,3.210300000000001,31,31
6,True,CCOc1ccc(Nc2n[nH]c3c(C(F)(F)F)nc(N4CCOCC4)n23)cc1,0.6902095546828598,3.0551000000000013,28,28
7,True,CCOC(=O)c1ccccc1NC(=O)COc1nnc(-c2ccccn2)c2ccccc12,0.44553650672109685,3.886000000000003,32,32
8,True,O=C(Cc1cccc2ccccc12)N1CCOCC1,0.8233531759375591,2.2411000000000003,19,19
9,True,Cc1c(NC2=C(C(=O)Nc3ccccc3C(=O)O)SCC2)c(=O)n(-c2ccc(F)cc2)n1C,0.5093383614522858,3.7208200000000016,33,33
10,True,CCOC(=O)c1ccccc1C(=O)NC1CCCCC1,0.8595248308954782,2.9258000000000015,20,20
11,True,COc1ccc(OC)c(CNC(=O)CCc2nc3cc(C)ccc3[nH]2)c1,0.6841124323113482,3.137520000000001,26,26
12,True,COc1ccc(Cl)cc1C(=O)Nc1ccccc1O,0.8464243817378339,3.306500000000001,19,19
13,True,Cc1ccc(N2C(=O)C[C@H](NCC(=O)Nc3ccc4ccccc4n3)C2=O)cc1,0.6551873523023385,2.4034199999999997,29,29
14,True,COc1ccc(CCNC(=O)C2=COC=CO2)cc1,0.8763538072394064,1.7133,19,19
15,True,Cc1nc2ccccn2c1C(=O)Nc1ccccc1NC(=O)c1ccco1,0.5801580290838757,3.7403200000000014,27,27
16,True,COC(=O)C1C=COC2=Nc3ccccc3N(O)N21,0.7651873856488607,1.1857999999999997,19,19
17,True,COC(=O)CNC(=O)C(=O)NCCCCN(Cc1ccccc1)S(=O)(=O)c1ccccc1OC,0.25794924553388526,1.0717000000000012,34,34
18,True,NC1=C2C(=O)c3ccccc3C2=C2C=c3ccccc3=N[C@H]2N1CCC(=O)O,0.8404271539789488,1.0370999999999997,28,28
19,True,COC(=O)c1sccc1Nc1cccc2ccccc12,0.7225048669960897,4.431500000000002,20,20
20,True,Cc1nnc(CCCNS(=O)(=O)c2ccc(F)cc2)s1,0.8264570354273161,1.8967200000000002,20,20
21,True,Cc1cc(NC(=N)Nc2ccc3ccccc3n2)nc(C)n1,0.49885666904865744,3.100410000000001,22,22
22,True,C=CCc1nnc(SCC(=O)Nc2ccccc2OC)n1CC1=CC(OC)=CC(OC)=C(OC)C1,0.34500773029157245,4.110800000000003,35,35
23,True,COc1ccc(NNC(=O)Nc2ccccc2OC(=O)c2ccccc2Cl)cc1,0.3101687119971395,4.716400000000003,29,29
24,True,COc1ccc(-c2nnc(SCC(=O)NC3=Nc4ccc(OC)cc4C3=O)[nH]2)cc1,0.5851359661611172,2.6237000000000004,30,30
25,True,Cc1cccc(CNS(=O)(=O)c2ccc3ccccc3c2)c1,0.7995570361130134,3.6267200000000024,22,22
26,True,COc1cccc(-c2nncc3c(=O)oc(-c4ccccc4)nc23)c1,0.5729039280122594,3.3206000000000016,25,25
27,True,CCCCOC(=O)C1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,0.5904046227484778,2.739020000000001,23,23
28,True,Cc1cc(=O)nc(SCNC(=O)c2ccccn2)[nH]1,0.4930157534435344,0.9529199999999998,19,19
29,True,CCOc1ccc(CNC(=O)CCNS(=O)(=O)c2ccc(OC)c(OC)c2)cc1,0.5748264142294002,2.0872999999999995,29,29
30,True,CCC(=O)N1CCC(OC(=O)C2=CN(CC3=CC=C(OC)C=C([N+](=O)[O-])C3)[C@@H](F)C=C2)CC1,0.24854058888178468,3.0029000000000012,33,33
31,True,O=C1C[C@@H]2C=CC=CN2c2c(F)cccc2O1,0.5069068560163679,2.3933,17,17
32,True,Cc1cccc(OCC(=O)OCC(=O)Nc2ccccc2)c1,0.8325871581327311,2.55572,22,22
33,True,COc1ccc(S(=O)(=O)NCCc2cccc(OC)c2)cc1,0.8491441486180674,2.2248,22,22
34,True,COc1ccc(NC(=O)CNC(=O)c2ccccc2)cc1OC,0.855593611749635,2.0723,23,23
35,True,COc1ccc(C2CCN(C[C@H](O)CS(=O)(=O)c3ccc4ccccc4c3)C2)cc1,0.6278748352435725,3.472500000000002,30,30
36,True,CCOc1ccc(OC(=O)c2ccc(NC(=O)c3cc(=O)c4ccccc4o3)o2)cc1,0.36747315684086157,4.256200000000002,31,31
37,True,Cc1ccc(CNC(=O)Cn2c(C)nc3c2c(=O)n(C)c(=O)n3C)cc1,0.7318696046893375,0.36694000000000004,26,26
38,True,O=C(Nc1ccc2ccccc2n1)Nc1ccccc1C(F)(F)F,0.7017518391084484,4.897600000000001,24,24
39,True,CCOC(=O)SC=CC(=O)Nc1ccc(C(=O)O)cc1,0.6406210157890125,2.7267,20,20
40,True,COc1cccc(C=CC(=O)NNC2=c3nc4c(nc3N(c3ccccc3)N=C2C)=CC=CC4)c1,0.42994084044388087,2.348,35,35
41,True,CCOC(=O)CC1=CC(C)=C2CC=CC=C2N1Cc1ccccc1,0.7479014520359575,4.499600000000004,24,24
42,True,CC(=O)Nc1ccc(CCNC(=O)c2cccc([N+](=O)[O-])c2)cc1,0.6284897970296418,2.5257000000000005,24,24
43,True,CCn1cc(C(=O)Nc2cc(C)on2)c2ccccc2c1=O,0.8056946332826188,2.57012,22,22
44,True,COc1ccccc1NS(=O)(=O)c1ccccc1NC(=O)[C@@H]1C=C(C)N(C)N(c2ccccc2)C1=O,0.4715661491932958,3.8481000000000023,36,36
45,True,COc1ccccc1C1=NNN(CC(=O)Nc2cccc(Cl)c2)N1,0.7720003385033513,1.9737,24,24
46,True,Cc1ccc(CNC(=O)c2ccc(COc3ccc(F)cc3Cl)o2)cc1,0.6689215548408294,4.889520000000004,26,26
47,True,COc1ccc(C(=O)NOC[C@@H](O)CNC(=O)C(=O)c2cc3ccccc3s2)cc1,0.27265577679768177,1.9312999999999991,30,30
48,True,COc1cccc(CCNC(=O)Cn2cnc3ccc(NC(C)=O)cc3c2=O)c1,0.6353113567588458,1.7223999999999995,29,29
49,True,CCOC(=O)c1cccc(C(=O)OCC(=O)CN2C(=O)c3ccccc3C2=O)c1,0.5203433789689221,1.8854000000000004,29,29
50,True,CCOC(=O)c1ccc(OC)c(S(=O)(=O)N2CCOCC2)c1,0.7463953203303711,0.8927999999999998,22,22
51,True,Cc1ccccc1NC(=O)C1Sc2nncn2C1=O,0.8361807706210067,1.33972,19,19
52,True,CCCC(=O)Nc1ccccc1O,0.698150821500526,2.1308000000000002,13,13
53,True,O=C(CSc1ccccn1)NN=CC1C=C(Br)C=CC1=O,0.4932683513467434,2.3096000000000005,21,21
54,True,CCOC(=O)Nc1ccc(O)c(NC(=O)COc2cc(=O)n(C)c3ccccc23)c1,0.4239422199856592,2.830000000000001,30,30
55,True,Cc1cccc(NC(=O)CN2C(=O)N(C)C(=O)[C@]23CC(=O)Nc2ccccc23)c1,0.7814062037201396,2.0652199999999996,29,29
56,True,COc1ccc(OCC(=O)Nc2ccc(Cl)cc2C(=O)N2CCN(c3ccccc3)CC2)cc1Cl,0.48175579695578735,4.981900000000005,35,35
57,True,COc1ccc(OC=CNCCc2ccccc2)cc1OC,0.5989579712125872,3.3861000000000026,22,22
58,True,CN(CCC(=O)Nc1cccc(N(C)C)c1)Cc1nccc2ccccc12,0.6951724806129304,3.7614000000000027,27,27
59,True,COc1cccc(OCC(=O)ONC(=O)C2=NC3C=CC=CN3N2)c1,0.7397540020920128,0.27669999999999934,25,25
60,True,CCOC(=O)c1cc(C)c(NC(=O)CCC(=O)c2ccc([N+](=O)[O-])cc2)c([N+](=O)[O-])c1,0.2738754749099958,3.5897200000000025,31,31
61,True,COc1ccc(NC(=O)COC(=O)CCNC(=O)c2cc(Cl)c(OC)c3[nH]cnc23)cc1,0.4178764443377724,2.5352999999999994,32,32
62,True,CCOC(=O)c1c(N)sc(=S)n1-c1ccc(Cl)cc1,0.6932878851834995,3.6805900000000014,19,19
63,True,COc1ccccc1NC(=O)CCON=C1C=CC=C(N2CC(=O)c3ccccc3C2=O)C1,0.5190450640490433,3.5789000000000026,33,33
64,True,COc1ccc(CCNC(=O)CCCc2ccccc2)cc1,0.810962626822967,3.376800000000002,22,22
65,True,CCn1c(=S)[nH]c(=O)n(-c2ccccc2)c1=O,0.8100508307271272,1.0766899999999997,17,17
66,True,CCCC(=O)Nc1ccc(C)c(C(=O)OCC(=O)Nn2cncc2S(=O)(=O)c2ccc(C)cc2)c1,0.43283517386338355,2.9984400000000013,35,35
67,True,Cc1ccc(C(=O)CCS(=O)(=O)Nc2ccc3ccccc3n2)cc1,0.6868512993497037,3.557920000000002,25,25
68,True,Cc1ccc2oc(C)c(C(=O)c3ccc(O)cc3)c2c1CN1CCOCC1,0.7123676449902986,3.8184400000000034,27,27
69,True,Cc1cccc(NC(=O)CCOC(=O)c2ccccc2Cl)c1,0.8525343550446524,3.8340200000000024,22,22
70,True,CCOC(=O)Nc1ccc(NC(=O)CCOC(=O)c2ccc3c(=O)oc4ccc(C)cc4c3c2)cc1,0.21288156139089034,5.008620000000004,36,36
71,True,CCCOc1ccc(C(=O)Nc2cccc(NC(=O)[C@H]3C=CC=NC3=O)c2)cc1,0.706666950577561,3.449600000000002,29,29
72,True,CCOc1ccc(-c2ncc(CCNC(=O)c3ccc4c(c3)n(C)c(=O)c(=O)n4CC)s2)cc1,0.392552162273554,3.214800000000001,34,34
73,True,COC(=O)C1=C(c2ccccc2)C(c2ccccc2)=NC1,0.8085050554454211,3.116100000000002,21,21
74,True,Cc1cccc(Oc2cccc(C(=O)N=Nc3cncnc3N3c4cccc(C)c4N[C@@H]3C)c2)c1,0.32968917965409,6.719440000000005,35,35
75,True,O=C(CCC(=O)N1C(=O)c2ccccc2C1=O)Nc1ccccc1-c1ccc2ccccc2c1,0.433322876830115,5.048300000000005,34,34
